"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
LEDs,60 m IR,40 m IR,70 m IR,70 m IR,60 m IR
Luz Blanca,;,;,;,;,;
WDR,130 dB,Digital WDR,120 dB,120 dB,130 dB
Iluminación Mínima,0.0005lux,0.01lux,0.005lux,0.005lux,0.003lux
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,;,;,;,;,;
Entrada/Salida Audio,;,;,;,;,;
Slot SD,;,;,;,;,;
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,IK10,IK10,;,;,IK10
Soporte Pared,DS-1272ZJ-120,DS-1273ZJ-140-DM45,DS-1273ZJ-130-TRL,DS-1273ZJ-130-TRL,No
Soporte Base,DS-1280ZJ-DM46,DS-1280ZJ-DM45,DS-1280ZJ-M,DS-1280ZJ-XS,DS-1280ZJ-DM45
Soporte Techo,No,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No,No
"",12 Vdc,,,,12 Vdc
Alimentación,,12 Vdc,12 Vdc,12 Vdc,
"",PoC af,,,,PoC af
Alto x Ancho x,,,,,
Profundo (cm),9.70 x 12.10 x 12.10,9.99 x 14.10 x 14.10,12.00 x 12.00 x 10.51,8.45 x 9.20 x 25.51,11.00 x 14.00 x 14.00
Peso (kg),0.57,0.80,0.68,0.65,1.60
Disponibilidad,C,A+,B,A,C
"",,,,,DS-2CE59H8T-,DS-2CE79H0T-
"",DS-2CE72HFT-,DS-2CE76H0T-,DS-2CE76H8T-,DS-2CE56H1T-,,
"",,,,,AVPIT3ZF(2.7-,IT3ZF(2.7-
"",F28(2.8MM),ITMF(2.8MM)(C),ITMF(2.8MM),IT3E(3.6MM),,
"",,,,,13.5MM),13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,5 Mpx,5 Mpx,5 Mpx,5 Mpx,5 Mpx,5 Mpx
"",HD - TVI,HD - TVI,HD - TVI,,HD - TVI,HD - TVI
Tecnología de,AHD,AHD,AHD,,AHD,AHD
Vídeo,CVBS,CVBS,CVBS,TVI,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI,,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Fija,Fija,Fija,Motorizada,Motorizada
Distancia Focal,"2,8 mm","2,8 mm","2,8 mm","3,6 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,30 m IR,30 m IR,40 m IR,60 m IR,40 m IR
Luz Blanca,20m,;,;,;,;,;
WDR,130 dB,Digital WDR,130 dB,Digital WDR,130 dB,Digital WDR
Iluminación Mínima,0.005lux,0.01lux,0.003lux,0.01lux,0.003lux,0.01lux
"",Detección de,,Detección de,,Detección de,
Análisis de Video,,No,,No,,No
"",Movimiento,,Movimiento,,Movimiento,
Entradas/Salidas,,,,,,
de Alarma,;,;,;,;,;,;
Entrada/Salida,,,,,,
Audio,;,;,;,;,;,;
Slot SD,;,;,;,;,;,;
WIFI,;,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67,IP67
Grado de,,,,,,
Protección,;,;,;,;,IK10,;
