"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
SLA-5M4600Q,"Módulo lente para PNM-9002VQ de 5MP, óptica fija 4.6mm, WDR 120dB",C
SLA-2M6000Q,"Módulo lente para PNM-9002VQ de 2MP, óptica fija 6mm, WDR 150dB",C
SLA-5M7000Q,"Módulo lente para PNM-9002VQ de 5MP, óptica fija 7mm, WDR 120dB",C
"",PNM-C34404RQPZ,PNM-9322VQP
Resolución,4 Mpx,8 - 20 Mpx
"Ángulo Visualización",360o,360o
No Sensores,4,4
"",,"2 Mpx (2,4 / 2,8 / 3,6 / 6 mm) 5 Mpx ( 3,7 / 4,6 /"
Distancia Focal,3.3 - 5.7 mm,
"",,7 mm)
LEDs,20 m IR,;
"",Hombre / Vehículo,VCA
Análisis de Video,,
"",VCA,Detección de Movimiento
Giro Continuo PTZ,;,;
Grado de Protección Antivandálica,IK10,IK10
Tecnología de Vídeo,IP,IP
Entradas/Salidas de Alarma,;,1e/2s
Stitching,;,;
Tecnología Cámara,IP,IP
Tipo de Cámara,Multisensor + PTZ,Multisensor + PTZ
Tipo de Óptica,Motorizada,Fija
WDR,120 dB,120dB / 150dB
Soporte Pared,No,SBP-300WM
Soporte Techo,No,SBP-300CM
Soporte Poste,No,SBP-300PM
Soporte Esquina,No,SBP-300KM
Soporte Empotrado,No,No
Alimentación,Hi-PoE 802.3bt,Hi-PoE 802.3bt
Alto x Ancho x Profundo (cm),37.98 x 37.98 x 30.19,33.57 x 36.78 x 36.78
Peso (kg),7.90,7.05
Disponibilidad,C,C
"",Descripción Corta,Disponibilidad
SLA-2M2400P,"Módulo lente para PNM-9320VQP de 2MP, óptica fija 2.4mm, WDR 150dB",C
SLA-2M2800P,"Módulo lente para PNM-9320VQP de 2MP, óptica fija 2.8mm, WDR 150dB",C
SLA-2M3600P,"Modulo lente para PNM-9320VQP de 2MP, óptica fija 3.6mm, WDR 150dB",C
SLA-5M3700P,"Módulo lente para PNM-9320VQP de 5MP, óptica fija 3.7mm, WDR 120dB",C
SLA-5M4600P,"Módulo lente para PNM-9320VQP de 5MP, óptica fija 4.6mm, WDR 120dB",C
SLA-2M6000P,"Módulo lente para PNM-9320VQP de 2MP, óptica fija 6 mm, WDR 150dB",C
SLA-5M7000P,"Módulo lente para PNM-9320VQP de 5MP, óptica fija 7mm, WDR 120dB",C
SLA-2M1200P,"Módulo lente para PNM-9320VQP de 2MP, óptica fija 12mm, WDR 150dB",C
"",Descripción Corta,Disponibilidad
"","Accesorio adaptador para soporte de pared con cámaras PTZ (QNP, XNP).",
SBP-156HMW,,B
"",Soportes que lo necesitan SBP-300WMW1 / SBP-300WMW / SBP-390WMW2,
SBP-120WM,Soporte de pared para Mini-domo. Color marfil,C
STB-4150V,"Soporte de pared para cámaras de interior, color gris",C
"",Soporte en poste para domos antivandalicos XNP-9300RW/8300RW/6400RW.,
SBP-156LMW,,C
"",Color blanco. Aluminio.,
"",Soporte de pared para Mini-domos antivandálicos y Domos PTZ Wisenet (requiere,
SBP-300WM,,C
"",adaptador),
SBP-300WM1,Soporte para cámara PTZ,A
"",Soporte de pared para Mini-domo y domo. Color blanco. Necesario adaptador a,
SBP-300WMW1,,A
"",cámara multisensor.,
SBP-156WMW,"Soporte a pared para domos PTZ, compatible con XNP. Blanco",A
SBP-300CMW,Soporte de techo para Mini-domo y domo. Color blanco,B
"",Soporte de techo para Mini-domos antivandálicos (requiere adaptador) y Domos,
SBP-300CM,,C
"",PTZ Wisenet. Color marfil,
"",Soporte a techo compatible con adaptador montaje colgante SBP-120HMW /,
SBP-900CMW,,C
"",140HMW / 160HMW1 / 180HMW1 de Hanwha,
"","Soporte de aluminio para techo, dimensiones ø54x900mm. La extensión se debe",
SBP-900CMP,,C
"",hacer con SBP-180CMB. Rosca estándar para domos Hanwha PTZ.,
"","Soporte a techo de doble rosca, dimensiones 86x71mm(ø3.38x2.8”), compatible con",
SBP-C15P,,C
"","SBP-150CMP, SBP-300CMP, SBP-900CMP.",
"",Descripción Corta,Disponibilidad
SBF-100B1,Base superficie para domo y minidomo. Color marfil,C
"","Caja conexión compatible con QNV-C8083R/C9083R, QNV-C801xR/C9011R,",
SBV-140BW,,C
"","QND-6011/21, QND-8011/21, QND-60x2R, QND-70x2R. Aluminio color blanco.",
SBO-100B1,Caja de conexión para cámara bullet Hanwha.,A
"","Caja de conexiones en Aluminio color Blanco. Compatible cámaras XND-9082RV,",
SBV-160BW,,C
"",PND-A9081RV y otros minidomos Hanwha (consultar).,
SBV-136B,Base superficie para domo,C
SBV-158G,Base superficie para domo y minidomo. Color marfil,C
"",Accesorio de esquina para domos de exterior (requiere soporte pared SBP-,
SBP-300KM1,,C
"",300WM). Color blanco marfil,
SBP-300PM1,Accesorio de poste para domos de exterior (requiere soporte pared SBP-300WM),B
SBP-302PM,Accesorio de poste para cámara Wisenet,B
SBP-300PMS,Accesorio para montaje en poste para Mini-domo y domo. Material acero.,C
SBP-303PM,Accesorio de poste para cámara Wisenet. Color blanco,C
SBP-122HMW,Accesorio de montaje de minidomo y domo en formato suspendido. Color blanco,C
SBP-168HM,Accesorio de montaje de domo XNP-6120HP en formato suspendido. Color marfil,C
"",Descripción Corta,Disponibilidad
"",Adaptador para montaje suspendido de mini-domo:QNV-6010(20)(30)R/7010(20),
SBP-122HM,"(30)R, QND-6070(80)R, SCD-5080(82)(83)/6021(83)R, SND-6011R/L5083R/",C
"",L6083R,
SBP-300HM5,Adaptador para montaje suspendido para cámara hemisférica fisheye,C
SBP-300HM7,Plato adaptador para mini-domo Samsung,C
SBP-300HM8,Accesorio de montaje de minidomo y domo en formato suspendido. Color marfil,C
SBP-300HM6,Adaptador para montaje suspendido de Mini-domo,C
SBP-301HMW2,Accesorio de montaje de minidomo en formato suspendido. Color blanco.,C
"",Accesorio para montaje de minidomo empotrado. Material en aluminio blanco y,
SHD-1408FPW,,C
"",Polycarbonato. Consultar modelos compatibles (QNV-XXX y LNV-XXX).,
SHP-1680F,Accesorio de empotrar de domo XNP-6120HP. Color marfil.,C
SHF-1500F,Accesorio de empotrar para minidomos. Color marfil. Ø224.0 x 106.9mm,C
SHD-3000F1,Accesorio de empotrar para domos PTZ de interior de SAMSUNG,C
SHD-3000F3,"Accesorio de empotrar para mini-domos Samsung, Ø224.0x106mm",C
SHD-3000F4,Accesorio de empotrar para minidomos. Color marfil. Ø224.0 x 106.9mm,C
SBP-300LM,Soporte de parapeto para domo Samsung,C
"",SPA-H100W,SPA-H100B
Tipo de Altavoz,Superficie,Superficie
Potencia (W),"10,0000","10,0000"
Potencia Acústica,124 dB,124 dB
Pulgadas,1’’,1’’
Color Altavoz,Blanco,Negro
Protección IP,IP66,IP66
Alto x Ancho x Profundo (cm),15.50 x 24.10 x 30.70,15.50 x 24.10 x 30.70
Peso (kg),3.70,3.70
Disponibilidad,C,C
"",XRN-420S,XRN-820S
Tecnología de Vídeo,IP,IP
No Canales Analógicos,;,;
No Canales IP,4,8
No Canales PoE,4,8
Resolución Máxima IP,8 Mpx,8 Mpx
"",LPR,LPR
Análisis de Video,VCA,VCA
"",POS,POS
Hombre/Vehículo,;,;
Detección Facial,;,;
Ancho de Banda Grabación/Visualización,50 / 64,100 / 32
"",,HDMI
Salida de Vídeo,HDMI/VGA,
"",,VGA
Entradas/Salidas de Alarma,4e/2s,4e/2s
Interfaz de Red,1 x RJ45 10/100,2 x RJ45 10/100/1000
Puerto Teclado,;,;
No Máximo HDDs,1,2
RAID,No Soportado,No Soportado
Fuente Redundante,;,;
Alimentación,220 Vac,220 Vac
Alto x Ancho x Profundo (cm),4.71 x 30.00 x 20.80,5.07 x 37.00 x 32.43
Peso (kg),1.06,2.70
Disponibilidad,C,B
"",WRN-1610S-16CH-8TB-,WRN-1610S-16CH-24TB-,,
"",,,XRN-3210B2,XRN-3210RB2
"",HDV2,HDV2,,
Tecnología de Vídeo,IP,HD - TVI,IP,IP
No Canales Analógicos,;,;,;,;
No Canales IP,16,16,32,32
No Canales PoE,16,16,;,;
Resolución Máxima IP,4 Mpx,4 Mpx,32 Mpx,32 Mpx
"",,,LPR,LPR
Análisis de Video,No,No,VCA,VCA
"",,,POS,POS
Hombre/Vehículo,;,;,;,;
Detección Facial,;,;,;,;
Ancho de Banda,,,,
Grabación/Visualización,150,150,400 / 32,400 / 64
"",HDMI,HDMI,HDMI,HDMI
Salida de Vídeo,,,,
"",VGA,HDMI/VGA,HDMI2,HDMI2
Entradas/Salidas de,,,,
Alarma,;,1e/1s,8e/4s,8e/4s
Interfaz de Red,2 x RJ45 10/100/1000,2 x RJ45 10/100/1000,3 x RJ45 10/100/1000,3 x RJ45 10/100/1000
Puerto Teclado,;,;,;,;
No Máximo HDDs,4,4,8,8
"",,,,RAID 5
RAID,No Soportado,No Soportado,No Soportado,
"",,,,RAID 6
Fuente Redundante,;,;,;,;
Alimentación,100 - 240 Vac,100 - 240 Vac,220 Vac,220 Vac
Alto x Ancho x Profundo,,,,
"(cm)",8.98 x 42.63 x 44.00,8.98 x 42.63 x 11.23,8.60 x 43.80 x 43.49,8.60 x 43.80 x 43.50
Peso (kg),5.20,5.20,7.50,9.10
Disponibilidad,C,C,B,B
"",XRN-6410B2
Tecnología de Vídeo,IP
No Canales Analógicos,;
No Canales IP,64
No Canales PoE,;
Resolución Máxima IP,32 Mpx
"",LPR
"",VCA
Análisis de Video,
"",POS
"",Detección de Movimiento
Hombre/Vehículo,;
Detección Facial,;
Ancho de Banda Grabación/Visualización,400 / 32
"",HDMI
Salida de Vídeo,
"",HDMI2
Entradas/Salidas de Alarma,8e/4s
Interfaz de Red,3 x RJ45 10/100/1000
Puerto Teclado,;
No Máximo HDDs,8
RAID,No Soportado
Fuente Redundante,;
Alimentación,220 Vac
Alto x Ancho x Profundo (cm),8.60 x 43.80 x 43.49
Peso (kg),7.50
Disponibilidad,C
"",2.0C-H6X-B,4.0C-H6X-B,6.0C-H6X-B,8.0C-H6X-B
Tipo de Cámara,Box IP,Box IP,Box IP,Box IP
Resolución,2 Mpx,4 Mpx,6 Mpx,8 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Sin Óptica,Sin Óptica,Sin Óptica,Sin Óptica
Distancia Focal,;,;,;,;
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,;,;,;
Luz Blanca,;,;,;,;
WDR,150 dB,150 dB,144 dB,150 dB
Iluminación Mínima,0.003lux,0.003lux,0.003lux,0.006lux
"",Objetos en la zona de interés,Objetos en la zona de interés,Objetos en la zona de interés,Objetos en la zona de interés
"",Objetos deambulantes,Objetos deambulantes,Objetos deambulantes,Objetos deambulantes
"",Objetos cruzando el haz,Objetos cruzando el haz,Objetos cruzando el haz,Objetos cruzando el haz
"",Objetos que aparecen o,Objetos que aparecen o,Objetos que aparecen o,Objetos que aparecen o
"",entran en la zona de interés,entran en la zona de interés,entran en la zona de interés,entran en la zona de interés
"",Ausencia de objetos en la,Ausencia de objetos en la,Ausencia de objetos en la,Ausencia de objetos en la
Análisis de Video,,,,
"",zona de interés,zona de interés,zona de interés,zona de interés
"",Objetos que entran en la,Objetos que entran en la,Objetos que entran en la,Objetos que entran en la
"",zona de interés,zona de interés,zona de interés,zona de interés
"",El objeto se detiene en el,El objeto se detiene en el,El objeto se detiene en el,El objeto se detiene en el
"",área,área,área,área
"",Objeto en área prohibida,Objeto en área prohibida,Objeto en área prohibida,Objeto en área prohibida
Entradas/Salidas de,,,,
Alarma,;,;,;,;
Entrada/Salida Audio,1e/1s,1e/1s,1e/1s,1e/1s
Slot SD,"2 x Micro SD (1,5 TB)","2 x Micro SD (1,5 TB)","2 x Micro SD (1,5 TB)","2 x Micro SD (1,5 TB)"
WIFI,;,;,;,;
Exterior,;,;,;,;
Grado de Protección,,,,
Antivandálica,;,;,;,;
Soporte Pared,No,No,No,No
Soporte Base,No,No,No,No
Soporte Techo,No,No,No,No
Soporte Poste,No,No,No,No
Soporte Esquina,No,No,No,No
Soporte Empotrado,No,No,No,No
"",12 - 24 Vdc,,12 - 24 Vdc,12 - 24 Vdc
Alimentación,,PoE 802.3af,,
"",PoE 802.3af,,PoE 802.3af,PoE 802.3af
Alto x Ancho x Profundo,,,,
"(cm)",6.30 x 7.50 x 12.20,6.30 x 7.50 x 12.20,6.30 x 7.50 x 12.20,6.30 x 7.50 x 12.20
Peso (kg),0.55,0.55,0.55,0.55
Disponibilidad,C,C,C,C
"",8C-H5PRO-B,16C-H5PRO-B,26C-H5PRO-B,40C-H5PRO-B
Tipo de Cámara,Box IP,Box IP,Box IP,Box IP
Resolución,8 Mpx,16 Mpx,26 Mpx,;
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Sin Óptica,Sin Óptica,Sin Óptica,Sin Óptica
Distancia Focal,;,;,;,;
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,;
LEDs,;,;,;,;
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.04lux,0.003lux,0.004 lux,0.004 lux
"",,Detección de Movimiento,,
"",,Inusual,Detección de Movimiento,
Análisis de Video,No,,,No
"",,Detección de Actividad,Inusual,
"",,Inusual,,
Entradas/Salidas de,,,,
Alarma,1e/1s,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,1e/1s,1e/1s,1e/1s,1e/1s
Slot SD,2 x Micro SD,2 x Micro SD (128 GB),2 x Micro SD (128 GB),2 x Micro SD (1TB)
WIFI,;,;,;,;
Exterior,;,;,IP66,IP66
Grado de Protección,,,,
Antivandálica,;,;,;,;
Soporte Pared,No,No,No,No
Soporte Base,No,No,No,No
Soporte Techo,No,No,No,No
Soporte Poste,No,No,No,No
Soporte Esquina,No,No,No,No
Soporte Empotrado,No,No,No,No
"",,,12 Vdc,
"",,12 Vdc / 24 Vac / PoE+,,12 - 24 Vdc
Alimentación,12 Vdc / 24 Vac,,24 Vac,
"",,802.3at,,PoE 802.3af
"",,,PoE+ 802.3at,
Alto x Ancho x Profundo,,,,
"(cm)",8.20 x 8.70 x 14.20,8.20 x 8.70 x 14.20,8.20 x 8.70 x 14.20,8.20 x 8.70 x 14.20
Peso (kg),0.50,0.50,0.50,0.50
Disponibilidad,C,C,C,C
"",2.0C-H6A-BO1-IR,2.0C-H6SL-BO1-IR
Tipo de Cámara,Bullet,Bullet
Resolución,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP
Tipo de Óptica,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","3,4 - 10,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,50 m IR,50 m IR
Luz Blanca,;,;
WDR,126 dB,126 dB
Iluminación Mínima,0 lux,0.005lux
"",Objetos en la zona de interés,
"",Objetos deambulantes,
"",,Objetos en la zona de interés
"",Objetos cruzando el haz,
"",,Objetos deambulantes
"",Objetos que aparecen o entran en la zona de,
Análisis de Video,,Objetos cruzando el haz
"",interés,
"",,Ausencia de objetos en la zona de interés
"",Ausencia de objetos en la zona de interés,
"",,Objetos que entran en la zona de interés
"",Objetos que entran en la zona de interés,
"",El objeto se detiene en el área,
Entradas/Salidas de Alarma,1e/1s,1e/1s
Entrada/Salida Audio,1e/1s,1e/1s
Slot SD,"Micro SD (1,5 TB)","Micro SD (1,5 TB)"
WIFI,;,;
Exterior,IP67,IP67
Grado de Protección Antivandálica,IK10,IK10
Soporte Pared,No,No
Soporte Base,No,No
Soporte Techo,No,No
Soporte Poste,No,No
Soporte Esquina,No,No
Soporte Empotrado,No,No
Alimentación,PoE+ 802.3at,12 Vdc / PoE 802.3af
Alto x Ancho x Profundo (cm),13.30 x 13.30 x 31.10,11.60 x 12.60 x 29.60
Peso (kg),2.11,1.31
Disponibilidad,C,C
"",3.0C-H6SL-BO1-IR,3.0C-H6SL-BO2-IR,4.0C-H6A-BO1-IR,4.0C-H6A-BO2-IR
Tipo de Cámara,Bullet,Bullet,Bullet,Bullet
Resolución,3 Mpx,3 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,"3,4 - 10,5 mm","10,9 - 29 mm",4.4 - 9.3 mm,"6,9 - 214,6 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,50 m IR,40 m IR,70 m IR,170 m
Luz Blanca,;,;,;,;
WDR,126 dB,130 dB,150 dB,144 dB
Iluminación Mínima,0.005lux,0.005lux,0.006lux,0.004 lux
"",,Objetos en la zona de interés,Objetos en la zona de interés,
"",,,,Objetos en la zona de interé
"",,Objetos deambulantes,Objetos deambulantes,
"",,,,Objetos deambulantes
"",Objetos en la zona de interés,Objetos cruzando el haz,Objetos cruzando el haz,
"",,,,Objetos cruzando el haz
"",Objetos deambulantes,Objetos que aparecen o,Objetos que aparecen o,
"",,,,Objetos que aparecen o
"",Objetos cruzando el haz,entran en la zona de interés,entran en la zona de interés,
"",,,,entran en la zona de interés
"",Objetos que aparecen o,Ausencia de objetos en la,Ausencia de objetos en la,
Análisis de Video,,,,Ausencia de objetos en la
"",entran en la zona de interés,zona de interés,zona de interés,
"",,,,zona de interés
"",Ausencia de objetos en la,Objetos que entran en la,Objetos que entran en la,
"",,,,Objetos que entran en la
"",zona de interés,zona de interés,zona de interés,
"",,,,zona de interés
"",Objeto en área prohibida,El objeto se detiene en el,El objeto se detiene en el,
"",,,,El objeto se detiene en el
"",,área,área,
"",,,,área
"",,Objeto en área prohibida,Objeto en área prohibida,
Entradas/Salidas de,,,,
Alarma,1e/1s,1e/1s,;,;
Entrada/Salida Audio,1e/1s,1e/1s,Micrófono Integrado,1e/1s
Slot SD,"Micro SD (1,5 TB)","Micro SD (1,5 TB)","2 x Micro SD (1,5 TB)","Micro SD (1,5 TB)"
WIFI,;,;,;,;
Exterior,IP67,IP67,IP67,IP66
Grado de Protección,,,,
Antivandálica,IK10,IK10,IK10,IK10
Soporte Pared,No,No,No,No
Soporte Base,No,No,No,No
Soporte Techo,No,No,No,No
Soporte Poste,No,No,No,No
Soporte Esquina,No,No,No,No
Soporte Empotrado,No,No,No,No
"",12 Vdc,12 Vdc,12 - 24 Vdc,
Alimentación,,,,PoE+ 802.3at
"",PoE 802.3af,PoE 802.3af,PoE+ 802.3at,
Alto x Ancho x Profundo,,,,
"(cm)",10.60 x 12.60 x 29.60,10.60 x 12.60 x 29.60,12.00 x 12.00 x 31.10,13.30 x 13.30 x 28.80
Peso (kg),1.31,1.31,2.11,2.11
Disponibilidad,B,C,B,C
"",5.0C-H6SL-BO1-IR,5.0C-H6SL-BO2-IR,6.0C-H6A-BO1-IR,8.0C-H6A-BO1-IR
Tipo de Cámara,Bullet,Bullet,Bullet,Bullet
Resolución,5 Mpx,5 Mpx,6 Mpx,8 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,"3,4 - 10,5 mm","10,9 - 29 mm",4.4 - 9.3 mm,4.4 - 9.3 mm
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,40 m IR,70 m IR,70 m IR,70 m IR
Luz Blanca,;,;,;,;
WDR,130 dB,130 dB,144 dB,130 dB
Iluminación Mínima,0.04lux,0.04lux,0.006lux,0.006lux
"",,,Objetos en la zona de interés,
"",Objetos en la zona de interés,,,
"",,Objetos en la zona de interés,Objetos deambulantes,
"",Objetos deambulantes,,,
"",,Objetos deambulantes,Objetos cruzando el haz,
"",Objetos cruzando el haz,,,
"",,Objetos cruzando el haz,Objetos que aparecen o,
"",Objetos que aparecen o,,,VCA
"",,Ausencia de objetos en la,entran en la zona de interés,
"",entran en la zona de interés,,,Detección de Movimiento
"",,zona de interés,Ausencia de objetos en la,
Análisis de Video,Ausencia de objetos en la,,,Inusual
"",,Objetos que entran en la,zona de interés,
"",zona de interés,,,Detección de Actividad
"",,zona de interés,Objetos que entran en la,
"",Objetos que entran en la,,,Inusual
"",,El objeto se detiene en el,zona de interés,
"",zona de interés,,,
"",,área,El objeto se detiene en el,
"",El objeto se detiene en el,,,
"",,Objeto abandonado,área,
"",área,,,
"",,,Objeto en área prohibida,
Entradas/Salidas de,,,,
Alarma,1e/1s,1e/1s,;,;
Entrada/Salida Audio,1e/1s,1e/1s,1e/1s,Micrófono Integrado
Slot SD,"Micro SD (1,5 TB)","Micro SD (1,5 TB)","2 x Micro SD (1,5 TB)",2 x Micro SD (512 GB)
WIFI,;,;,;,;
Exterior,IP67,IP67,IP68,IP67
Grado de Protección,,,,
Antivandálica,IK10,IK10,IK10,IK10
Soporte Pared,No,No,No,No
Soporte Base,No,No,No,No
Soporte Techo,No,No,No,No
Soporte Poste,No,No,No,No
Soporte Esquina,No,No,No,No
Soporte Empotrado,No,No,No,No
"",,,12 - 24 Vdc,PoE 802.3af
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,,
"",,,PoE+ 802.3at,PoE+ 802.3at
Alto x Ancho x Profundo,,,,
"(cm)",10.60 x 12.60 x 29.60,10.60 x 12.60 x 29.60,11.10 x 12.60 x 31.10,13.30 x 13.30 x 31.10
Peso (kg),1.31,1.31,2.11,2.50
Disponibilidad,C,C,C,C
"",2.0C-H5M-DO1-IR,2.0C-H6M-D1,2.0C-H6M-D1-IR,2.0C-H6SL-D1-IR
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Motorizada
Distancia Focal,"2,8 mm","2,9 mm","2,9 mm","3,4 - 10,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,10 m IR,10 m IR,10 m IR,30 m IR
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,126 dB
Iluminación Mínima,0.027lux,0.005lux,0.005lux,0.005lux
"",Detección de Movimiento,,,
Análisis de Video,,Hombre / Vehículo,Hombre / Vehículo,VCA
"",Inusual,,,
Entradas/Salidas de,,,,
Alarma,1e/1s,;,;,1e/1s
Entrada/Salida Audio,1e/1s,;,;,1e/1s
Slot SD,;,Micro SD,Micro SD,Micro SD (1TB)
WIFI,;,;,;,;
Exterior,IP66,;,;,IP67
Grado de Protección,,,,
Antivandálica,IK08,;,;,IK10
Soporte Pared,No,No,No,CM-MT-WALL1
Soporte Base,No,No,No,No
Soporte Techo,H5M-MT-DCIL1,No,No,No
Soporte Poste,No,No,No,No
Soporte Esquina,No,No,No,No
Soporte Empotrado,No,No,No,No
Alimentación,PoE 802.3af,PoE 802.3af,PoE 802.3af,PoE 802.3af
Alto x Ancho x Profundo,,,,
"(cm)",10.00 x 11.50 x 11.50,6.30 x 7.50 x 7.50,6.30 x 7.50 x 7.50,11.60 x 15.60 x 15.60
Peso (kg),0.36,0.17,0.17,0.81
Disponibilidad,C,C,C,C
"",2.0C-H6A-D1-IR,2.0C-H5A-D1-IR,2.0C-H6SL-DO1-IR
Tipo de Cámara,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","3,3 - 9 mm","3,4 - 10,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes
LEDs,50 m IR,35 m,30 m IR
Luz Blanca,;,;,;
WDR,150 dB,132 dB,126 dB
Iluminación Mínima,0.003lux,0.027lux,0.005lux
"",,,Objetos en la zona de interés
"",,,Objetos que aparecen o entran en la
"",,,zona de interés
"",,VCA,
"",,,Ausencia de objetos en la zona de
Análisis de Video,Hombre / Vehículo,Detección de Movimiento Inusual,
"",,,interés
"",,Detección de Actividad Inusual,
"",,,Objetos que entran en la zona de
"",,,interés
"",,,Objeto en área prohibida
Entradas/Salidas de Alarma,;,1e/1s,1e/1s
Entrada/Salida Audio,Micrófono Integrado,1e/1s,1e/1s
Slot SD,"Micro SD (1,5 TB)",Micro SD,"Micro SD (1,5 TB)"
WIFI,;,;,;
Exterior,;,IP67,IP67
Grado de Protección,,,
Antivandálica,IK10,IK10,IK10
"",H6A-MT-NPTA1,,
Soporte Pared,,No,No
"",WLMT-1021,,
Soporte Base,No,No,No
Soporte Techo,No,No,No
Soporte Poste,No,No,No
Soporte Esquina,No,No,No
Soporte Empotrado,CLADP-1001,No,No
"",12 - 24 Vdc,,
Alimentación,,12 Vdc / 24 Vac / PoE 802.3af,PoE 802.3af
"",PoE+ 802.3at,,
Alto x Ancho x Profundo (cm),13.10 x 18.00 x 18.00,11.80 x 16.30 x 16.30,11.60 x 15.60 x 15.60
Peso (kg),1.59,0.99,0.81
Disponibilidad,C,C,C
"",,3.0C-H5A-CR1-,3.0C-H5A-CR1-,3.0C-H5SL-,,3.0C-H6SL-
"",3.0C-H6M-D1-IR,,,,3.0C-H6SL-D1-IR,
"",,IR,IR-SS,DO1-IR,,DO1-IR
Tipo de Cámara,Minidomo,Minidomo Esquina,Minidomo Esquina,Minidomo,Minidomo,Minidomo
Resolución,3 Mpx,3 Mpx,3 Mpx,3 Mpx,3 Mpx,3 Mpx
Tecnología de,,,,,,
Vídeo,IP,IP,IP,IP,IP,IP
Tipo de Óptica,Fija,Motorizada,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,9 mm",3 - 9 mm,3 - 9 mm,"3,1 - 8,4 mm","3,4 - 10,5 mm","3,4 - 10,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,10 m IR,15 m IR,15 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;,;,;,;
WDR,120 dB,126 dB,126 dB,120 dB,130 dB,130 dB
Iluminación Mínima,0.005lux,0.027lux,0.027lux,0.04lux,0.005lux,0.02lux
"",,,,,Objetos en la zona,
"",,,,,de interés,
"",,,,,Objetos,
"",,,,,deambulantes,
"",,,,,Objetos cruzando,
"",,,,,el haz,
"",,,,,Objetos que,
"",,VCA,VCA,,,
"",,,,,aparecen o entran,
"",,Detección de,Detección de,,,
"",,,,Detección de,en la zona de,Objetos en la zona
Análisis de Video,Hombre / Vehículo,Movimiento Inusual,Movimiento Inusual,,,
"",,,,Movimiento Inusual,interés,de interés
"",,Detección de,Detección de,,,
"",,,,,Ausencia de,
"",,Actividad Inusual,Actividad Inusual,,,
"",,,,,objetos en la zona,
"",,,,,de interés,
"",,,,,Objetos que entran,
"",,,,,en la zona de,
"",,,,,interés,
"",,,,,El objeto se detiene,
"",,,,,en el área,
Entradas/Salidas,,,,,,
de Alarma,;,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
Entrada/Salida,,,,,,
Audio,;,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
Slot SD,Micro SD,Micro SD,Micro SD,Micro SD,"Micro SD (1,5 TB)","Micro SD (1,5 TB)"
WIFI,;,;,;,;,;,;
Exterior,;,IP67,IP67,IP67,IP67,IP67
Grado de,,,,,,
Protección,;,IK10,IK10,IK10,IK10,IK10
Antivandálica,,,,,,
Soporte Pared,No,No,No,CM-MT-WALL1,No,No
Soporte Base,No,No,No,No,No,No
Soporte Techo,No,No,No,H4SL-MT-DCIL1,No,SLSPCIL-1001
Soporte Poste,No,No,No,H4-MT-POLE1,No,No
Soporte Esquina,No,No,No,H4-MT-CRNR1,No,No
Soporte,,,,,,
Empotrado,No,No,No,No,No,No
"",,12 Vdc / 24 Vac /,12 Vdc / 24 Vac /,,,
Alimentación,PoE 802.3af,,,PoE 802.3af,PoE 802.3af,PoE 802.3af
